No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category,Main_Cause
477,North Western,Vavuniya,Vengalacheddiculam,2011-12-21,Hakkapatas,Male,Unknown,Unknown,Intentional
478,Mahaweli,Trincomalee,Kantalai,2011-12-24,Hakkapatas,Male,15-20,Subadults and adults,Intentional
479,Mahaweli,Polonnaruwa,Dimbulagala,2011-12-28,Unknown,Female,15,Subadults and adults,Unknown
480,North Western,Mullaitivu,Maritimepattu,2011-12-28,Land mine,Male,35,Subadults and adults,Intentional
481,Mahaweli,Trincomalee,Muttur,2011-12-28,Unknown,Male,15-20,Subadults and adults,Unknown
482,North Western,Anuradhapura,Kekirawa,2011-12-31,Unknown,Male,30-35,Subadults and adults,Unknown
483,North Western,Anuradhapura,Kebithigollewa,2012-01-01,Poisned,Male,35,Subadults and adults,Intentional
484,Uva,Monaragala,Wellawaya,2012-01-01,Unknown,Unknown,20,Subadults and adults,Unknown
485,Uva,Monaragala,Wellawaya,2012-01-01,Unknown,Male,Unknown,Unknown,Unknown
486,Central,Nuwara Eliya,Walapane,2012-01-01,Unknown,Unknown,Unknown,Unknown,Unknown
487,North Western,Kurunegala,Galgamuwa,2012-01-02,Unknown,Unknown,Unknown,Unknown,Unknown
488,North Western,Mullaitivu,Oddusuddan,2012-01-07,Hakkapatas,Female,4 - 5,Juvenile,Intentional
489,Polonnaruwa,Polonnaruwa,Dimbulagala,2012-01-07,Unknown,Female,40 - 50,Subadults and adults,Unknown
490,North Western,Anuradhapura,Kekirawa,2012-01-08,Hakkapatas,Unknown,05,Juvenile,Intentional
491,North Western,Puttalam,Nawagattegama,2012-01-09,Gunshot,Male,Unknown,Unknown,Intentional
492,North Western,Anuradhapura,N. Palatha Central,2012-01-10,Gunshot,Male,25 - 30,Subadults and adults,Intentional
493,North Western,Vavuniya,Vavuniya North,2012-01-11,Electrocuted,Male,20 - 25,Subadults and adults,Unintentional
494,North Western,Puttalam,Karuwalagaswewa,2012-01-11,Gunshot,Male,Unknown,Unknown,Intentional
495,Polonnaruwa,Trincomalee,Kantalai,2012-01-12,Unknown,Female,4 - 5,Juvenile,Unknown
496,Southern,Monaragala,Wellawaya,2012-01-12,Gunshot,Female,25,Subadults and adults,Intentional
497,North Western,Kurunegala,Polpithigama,2012-01-15,Gunshot,Male,35,Subadults and adults,Intentional
498,Polonnaruwa,Trincomalee,Seruvila,2012-01-20,Gunshot,Female,7.5 - 8,Juvenile,Intentional
499,Southern,Ratnapura,Embilipitiya,2012-01-26,Other,Female,2.5,Calf,Other
500,North Western,Vavuniya,Vavuniya South,2012-01-27,Electrocuted,Male,20 - 25,Subadults and adults,Unintentional
501,North Western,Puttalam,Karuwalagaswewa,2012-01-29,Hakkapatas,Male,Unknown,Unknown,Intentional
502,Southern,Ratnapura,Embilipitiya,2012-01-31,Natural,Female,Unknown,Unknown,Natural
503,North Western,Kurunegala,Giribawa,2012-02-02,Gunshot,Female,Unknown,Unknown,Intentional
504,Polonnaruwa,Batticaloa,Koralai Pattu North,2012-02-06,Hakkapatas,Female,20,Subadults and adults,Intentional
505,Southern,Monaragala,Wellawaya,2012-02-06,Unknown,Male,35,Subadults and adults,Unknown
506,Eastern,Ampara,Damana,2012-02-06,Other,Unknown,7 Months,Infant,Other
507,Polonnaruwa,Polonnaruwa,Hingurakgoda,2012-02-09,Train Accident,Female,20,Subadults and adults,Unintentional
508,Polonnaruwa,Polonnaruwa,Welikanda,2012-02-10,Unknown,Female,6.5 Months,Infant,Unknown
509,Eastern,Ampara,Lahugala,2012-02-11,Unknown,Female,25 - 30,Subadults and adults,Unknown
510,North Western,Puttalam,Karuwalagaswewa,2012-02-13,Accident,Female,20,Subadults and adults,Unintentional
511,Polonnaruwa,Trincomalee,Trincomalee Town and Gravets,2012-02-15,Gunshot,Male,35,Subadults and adults,Intentional
512,Southern,Monaragala,Thanamalvila,2012-02-15,Unknown,Female,45,Subadults and adults,Unknown
513,North Western,Mannar,Musali,2012-02-16,Gunshot,Male,Unknown,Unknown,Intentional
514,North Western,Anuradhapura,Maha Vilachchiya,2012-02-17,Poisned,Female,35,Subadults and adults,Intentional
515,Polonnaruwa,Trincomalee,Morawewa,2012-02-18,Gunshot,Female,18 - 20,Subadults and adults,Intentional
516,Polonnaruwa,Trincomalee,Kantalai,2012-02-18,Hakkapatas,Male,06,Juvenile,Intentional
517,Polonnaruwa,Polonnaruwa,Dimbulagala,2012-02-18,Electrocuted,Male,40 - 45,Subadults and adults,Unintentional
518,Eastern,Ampara,Ampara,2012-02-18,Other,Unknown,1.5 Months,Infant,Other
519,North Western,Kurunegala,Ehetuwewa,2012-02-19,Land mine,Female,35 - 40,Subadults and adults,Intentional
520,North Western,Vavuniya,Oddusuddan,2012-02-21,Land mine,Female,15 - 18,Subadults and adults,Intentional
521,Polonnaruwa,Anuradhapura,Palugaswewa,2012-02-23,Train Accident,Male,20 - 25,Subadults and adults,Unintentional
522,YalaBundala,Hambantota,Lunugamvehera,2012-02-23,Gunshot,Male,25 - 30,Subadults and adults,Intentional
523,North Western,Mannar,Nanaddan,2012-02-24,Gunshot,Female,20,Subadults and adults,Intentional
524,Polonnaruwa,Trincomalee,Morawewa,2012-02-25,Hakkapatas,Male,04 - 05,Juvenile,Intentional
525,Polonnaruwa,Ampara,Dehiattakandiya,2012-02-25,Gunshot,Male,40,Subadults and adults,Intentional
526,Eastern,Batticaloa,Porativu Pattu,2012-02-26,Poisned,Male,25 - 30,Subadults and adults,Intentional
527,Eastern,Ampara,Lahugala,2012-02-27,Unknown,Female,20 - 30,Subadults and adults,Unknown
528,Eastern,Ampara,Ampara,2012-02-28,Other,Male,2 - 2.5,Calf,Other
529,Southern,Ratnapura,Embilipitiya,2012-02-28,Natural,Male,Unknown,Unknown,Natural
530,Southern,Monaragala,Thanamalvila,2012-03-02,Electrocuted,Male,35,Subadults and adults,Unintentional
531,North Western,Puttalam,Nawagattegama,2012-03-02,Gunshot,Female,26 - 27,Subadults and adults,Intentional
532,North Western,Anuradhapura,Medawachchiya,2012-03-11,Unknown,Male,10 - 15,Unknown,Unknown
533,North Western,Mannar,Nanaddan,2012-03-12,Unknown,Female,20 - 25,Subadults and adults,Unknown
534,Polonnaruwa,Trincomalee,Gomarankadawala,2012-03-14,Accident,Male,2 Weeks,Infant,Unintentional
535,Eastern,Ampara,Lahugala,2012-03-14,Hakkapatas,Male,15 - 20,Subadults and adults,Intentional
536,North Western,Kurunegala,Galgamuwa,2012-03-14,Electrocuted,Male,25 - 30,Subadults and adults,Unintentional
537,North Western,Kurunegala,Galgamuwa,2012-03-14,Electrocuted,Female,20,Subadults and adults,Unintentional
538,YalaBundala,Hambantota,Thissamaharama,2012-03-16,Other,Male,50,Subadults and adults,Other
539,North Western,Kurunegala,Polpithigama,2012-03-17,Train Accident,Female,30 - 35,Subadults and adults,Unintentional
540,Eastern,Ampara,Lahugala,2012-03-17,Hakkapatas,Female,20 - 25,Subadults and adults,Intentional
541,Polonnaruwa,Trincomalee,Trincomalee Town and Gravets,2012-03-20,Hakkapatas,Female,22 - 24,Subadults and adults,Intentional
542,North Western,Puttalam,Nawagattegama,2012-03-21,Gunshot,Female,26,Subadults and adults,Intentional
543,Polonnaruwa,Polonnaruwa,Dimbulagala,2012-03-28,Unknown,Female,15,Subadults and adults,Unknown
544,Polonnaruwa,Ampara,Dehiattakandiya,2012-03-30,Unknown,Male,35,Subadults and adults,Unknown
545,Southern,Ratnapura,Embilipitiya,2012-03-31,Natural,Male,Unknown,Unknown,Natural
546,Polonnaruwa,Trincomalee,Morawewa,2012-03-31,Poisned,Female,30 - 35,Subadults and adults,Intentional
547,Southern,Ratnapura,Embilipitiya,2012-03-31,Unknown,Unknown,0.5 Months,Infant,Unknown
548,Southern,Hambantota,Hambantota,2012-04-01,Electrocuted,Female,30,Subadults and adults,Unintentional
549,North Western,Vavuniya,Vavuniya North,2012-04-03,Hakkapatas,Female,10,Juvenile,Intentional
550,Polonnaruwa,Polonnaruwa,Dimbulagala,2012-04-04,Unknown,Male,02,Calf,Unknown
551,Southern,Monaragala,Wellawaya,2012-04-05,Unknown,Female,35 - 40,Subadults and adults,Unknown
552,Eastern,Batticaloa,Manmunai South and Eruvilpattu,2012-04-05,Other,Female,15 - 20,Subadults and adults,Other
553,North Western,Vavuniya,Vavuniya North,2012-04-06,Hakkapatas,Male,10,Juvenile,Intentional
554,Polonnaruwa,Trincomalee,Kinniya,2012-04-07,Hakkapatas,Female,30 - 35,Subadults and adults,Intentional
555,Polonnaruwa,Trincomalee,Kinniya,2012-04-08,Unknown,Female,10 - 15,Unknown,Unknown
556,Polonnaruwa,Trincomalee,Unknown,2012-04-09,Unknown,Female,10 - 15,Unknown,Unknown
557,Eastern,Ampara,Lahugala,2012-04-11,Natural,Female,70,Subadults and adults,Natural
558,Polonnaruwa,Matale,Naula,2012-04-15,Gunshot,Female,25 - 30,Subadults and adults,Intentional
559,Polonnaruwa,Polonnaruwa,Dambulla,2012-04-15,Unknown,Male,Unknown,Unknown,Unknown
560,North Western,Anuradhapura,Horowpothana,2012-04-16,Electrocuted,Male,35,Subadults and adults,Unintentional
561,Eastern,Batticaloa,Manmunai South and Eruvilpattu,2012-04-16,Natural,Male,14 - 15,Subadults and adults,Natural
562,Polonnaruwa,Polonnaruwa,Hingurakgoda,2012-04-16,Hakkapatas,Unknown,30,Subadults and adults,Intentional
563,Polonnaruwa,Trincomalee,Trincomalee Town and Gravets,2012-04-18,Hakkapatas,Male,28 - 30,Subadults and adults,Intentional
564,Southern,Monaragala,Hildummulla,2012-04-20,Unknown,Male,30,Subadults and adults,Unknown
565,North Western,Anuradhapura,Horowpothana,2012-04-20,Hakkapatas,Male,5 - 6,Juvenile,Intentional
566,Southern,Monaragala,Buttala,2012-04-22,Unknown,Male,35,Subadults and adults,Unknown
567,Southern,Ratnapura,Balangoda,2012-04-23,Accident,Male,35 - 40,Subadults and adults,Unintentional
568,YalaBundala,Hambantota,Thissamaharama,2012-04-24,Gunshot,Male,45,Subadults and adults,Intentional
569,North Western,Puttalam,Nawagattegama,2012-04-25,Unknown,Unknown,Unknown,Unknown,Unknown
570,Polonnaruwa,Polonnaruwa,Hingurakgoda,2012-04-26,Unknown,Unknown,30,Subadults and adults,Unknown
571,Polonnaruwa,Badulla,Mahiyanganaya,2012-04-26,Electrocuted,Male,35,Subadults and adults,Unintentional
572,Eastern,Ampara,Damana,2012-04-27,Gunshot,Female,40 - 45,Subadults and adults,Intentional
573,North Western,Kurunegala,Polpithigama,2012-04-27,Injured,Female,20,Subadults and adults,Natural
574,Polonnaruwa,Badulla,Mahiyanganaya,2012-04-30,Unknown,Male,15,Subadults and adults,Unknown
575,North Western,Anuradhapura,Kahatagasdigiliya,2012-05-03,Gunshot,Female,30,Subadults and adults,Intentional
576,Polonnaruwa,Trincomalee,Gomarankadawala,2012-05-04,Unknown,Unknown,2 - 3,Calf,Unknown
577,Polonnaruwa,Polonnaruwa,Dimbulagala,2012-05-05,Unknown,Male,35 - 40,Subadults and adults,Unknown
578,Southern,Monaragala,Thanamalvila,2012-05-05,Unknown,Male,35,Subadults and adults,Unknown
579,Polonnaruwa,Trincomalee,Seruvila,2012-05-06,Gunshot,Male,35,Subadults and adults,Intentional
580,Polonnaruwa,Trincomalee,Kinniya,2012-05-07,Hakkapatas,Female,5 - 6,Juvenile,Intentional
581,Polonnaruwa,Polonnaruwa,Medirigiriya,2012-05-07,Unknown,Unknown,10 - 12,Juvenile,Unknown
582,North Western,Kurunegala,Polpithigama,2012-05-07,Drought,Female, 8 - 10,Juvenile,Natural
583,Polonnaruwa,Polonnaruwa,Koralai Pattu (Valachchenai),2012-05-07,Train Accident,Male,30,Subadults and adults,Unintentional
584,Eastern,Ampara,Thirukkovil,2012-05-09,Other,Male,40 - 45,Subadults and adults,Other
585,North Western,Anuradhapura,Horowpothana,2012-05-10,Hakkapatas,Male,10,Juvenile,Intentional
586,Polonnaruwa,Trincomalee,Kantalai,2012-05-10,Other,Female,3.5 - 4,Calf,Other
587,Polonnaruwa,Polonnaruwa,Dimbulagala,2012-05-11,Accident,Male,12 - 15,Subadults and adults,Unintentional
588,Southern,Monaragala,Wellawaya,2012-05-13,Unknown,Male,35,Subadults and adults,Unknown
589,North Western,Vavuniya,Vavuniya North,2012-05-14,Unknown,Male,20 - 25,Subadults and adults,Unknown
590,YalaBundala,Monaragala,Katharagama,2012-05-14,Unknown,Male,50,Subadults and adults,Unknown
591,North Western,Vavuniya,Vavuniya North,2012-05-14,Unknown,Male,20 - 25,Subadults and adults,Unknown
592,Eastern,Ampara,Siyambalanduwa,2012-05-16,Unknown,Male,40 - 45,Subadults and adults,Unknown
593,Eastern,Monaragala,Madulla,2012-05-17,Gunshot,Female,40 - 45,Subadults and adults,Intentional
594,North Western,Puttalam,Karuwalagaswewa,2012-05-19,Gunshot,Female,28,Subadults and adults,Intentional
595,North Western,Puttalam,Karuwalagaswewa,2012-05-21,Injured,Female,15 - 18,Subadults and adults,Natural
596,North Western,Mannar,Musali,2012-05-21,Unknown,Female,3 - 4,Calf,Unknown
597,North Western,Mannar,Porativu Pattu,2012-05-22,Unknown,Male,30,Subadults and adults,Unknown
598,Polonnaruwa,Polonnaruwa,Dimbulagala,2012-05-23,Unknown,Male,15,Subadults and adults,Unknown
599,North Western,Anuradhapura,Kebithigollewa,2012-05-23,Unknown,Male,30 - 35,Subadults and adults,Unknown
600,Eastern,Ampara,Siyambalanduwa,2012-05-25,Gunshot,Male,20 - 25,Subadults and adults,Intentional
601,Polonnaruwa,Trincomalee,Seruvila,2012-05-25,Unknown,Male,4.5,Juvenile,Unknown
602,North Western,Vavuniya,Vavuniya,2012-05-31,Unknown,Male,Unknown,Unknown,Unknown
603,North Western,Vavuniya,Vavuniya North,2012-06-06,Unknown,Female,15,Subadults and adults,Unknown
604,Eastern,Ampara,Uhana,2012-06-07,Septicemia,Male,5 Months,Infant,Natural
605,Eastern,Batticaloa,Manmunai South and Eruvilpattu,2012-06-11,Unknown,Male,35 - 40,Subadults and adults,Unknown
606,North Western,Vavuniya,Vavuniya North,2012-06-13,Hakkapatas,Male,01 Month,Infant,Intentional
607,Eastern,Ampara,Lahugala,2012-06-14,Unknown,Male,35 - 40,Subadults and adults,Unknown
608,Polonnaruwa,Trincomalee,Morawewa,2012-06-16,Unknown,Male,6 - 7,Juvenile,Unknown
609,Eastern,Ampara,Damana,2012-06-19,Hakkapatas,Female,20 - 22,Subadults and adults,Intentional
610,Southern,Monaragala,Katharagama,2012-06-21,Accident,Male,1.5,Calf,Unintentional
611,North Western,Puttalam,Karuwalagaswewa,2012-06-25,Accident,Male,1,Calf,Unintentional
612,Polonnaruwa,Polonnaruwa,Hingurakgoda,2012-06-25,Unknown,Female,15,Subadults and adults,Unknown
613,North Western,Anuradhapura,Horowpothana,2012-06-25,Hakkapatas,Female,4,Calf,Intentional
614,Central,Kandy,Udadumbara,2012-06-25,Accident,Unknown,9 Months,Infant,Unintentional
615,North Western,Kurunegala,Nikaweratiya,2012-06-25,Poisned,Male,20,Subadults and adults,Intentional
616,Polonnaruwa,Polonnaruwa,Hingurakgoda,2012-06-25,Unknown,Female,30,Subadults and adults,Unknown
617,Eastern,Monaragala,Madulla,2012-06-26,Gunshot,Male,35 - 40,Subadults and adults,Intentional
618,Eastern,Ampara,Ampara,2012-06-26,Unknown,Male,35 - 40,Subadults and adults,Unknown
619,North Western,Puttalam,Puttalam,2012-06-27,Gunshot,Unknown,30,Subadults and adults,Intentional
620,Central,Badulla,Kandaketiya,2012-06-28,Gunshot,Male,35,Subadults and adults,Intentional
621,Southern,Monaragala,Badalkumbura,2012-07-01,Unknown,Male,Unknown,Unknown,Unknown
622,Polonnaruwa,Trincomalee,Morawewa,2012-07-04,Other,Male,2 Months,Infant,Other
623,North Western,Vavuniya,Vavuniya South,2012-07-05,Hakkapatas,Male,6 - 10,Juvenile,Intentional
624,Polonnaruwa,Matale,Dambulla,2012-07-08,Gunshot,Female,4 - 5,Juvenile,Intentional
625,Southern,Badulla,Badalkumbura,2012-07-15,Unknown,Male,07,Juvenile,Unknown
626,Uva,Monaragala,Wellawaya,2012-07-15,Accident,Male,07,Juvenile,Unintentional
627,North Western,Puttalam,Vanathavilluwa,2012-07-17,Accident,Unknown,15,Subadults and adults,Unintentional
628,North Western,Kurunegala,Galgamuwa,2012-07-17,Gunshot,Unknown,20 - 25,Subadults and adults,Intentional
629,Polonnaruwa,Ampara,Padiyathalawa,2012-07-19,Natural,Female,30,Subadults and adults,Natural
630,Polonnaruwa,Trincomalee,Kantalai,2012-07-25,Hakkapatas,Female,20 - 25,Subadults and adults,Intentional
631,North Western,Anuradhapura,Palugaswewa,2012-07-29,Nivukeniya,Male,6 - 7,Juvenile,Natural
632,Southern,Ratnapura,Embilipitiya,2012-07-31,Natural,Male,Unknown,Unknown,Natural
633,Eastern,Ampara,Siyambalanduwa,2012-08-04,Gunshot,Male,35 - 40,Subadults and adults,Intentional
634,Eastern,Badulla,Mahiyanganaya,2012-08-05,Unknown,Male,35 - 40,Subadults and adults,Unknown
635,Polonnaruwa,Trincomalee,Morawewa,2012-08-07,Hakkapatas,Male,5 - 6,Juvenile,Intentional
636,Southern,Ratnapura,Balangoda,2012-08-10,Unknown,Unknown,1.5,Calf,Unknown
637,Central,Kandy,Udadumbara,2012-08-13,Gunshot,Male,45,Subadults and adults,Intentional
638,North Western,Kurunegala,Galgamuwa,2012-08-17,Hakkapatas,Female,15,Subadults and adults,Intentional
639,Eastern,Ampara,Lahugala,2012-08-17,Unknown,Male,1 - 1.5,Calf,Unknown
640,Southern,Hambantota,Hambantota,2012-08-17,Unknown,Male,1 Week,Infant,Unknown
641,Polonnaruwa,Polonnaruwa,Elahera,2012-08-18,Gunshot,Male,35,Subadults and adults,Intentional
642,North Western,Kurunegala,Palagala,2012-08-18,Accident,Male,45,Subadults and adults,Unintentional
643,Polonnaruwa,Polonnaruwa,Thamankaduwa,2012-08-20,Gunshot,Male,24,Subadults and adults,Intentional
644,Eastern,Ampara,Lahugala,2012-08-23,Gunshot,Male,40 - 45,Subadults and adults,Intentional
645,Eastern,Ampara,Dehiattakandiya,2012-08-27,Gunshot,Female,35,Subadults and adults,Intentional
646,Uva,Monaragala,Katharagama,2012-08-28,Unknown,Male,1 Week,Infant,Unknown
647,Uva,Hambantota,Lunugamvehera,2012-08-29,Accident,Female,30 - 35,Subadults and adults,Unintentional
648,Polonnaruwa,Polonnaruwa,Thamankaduwa,2012-08-29,Gunshot,Male,25,Subadults and adults,Intentional
649,Central,Nuwara Eliya,Walapane,2012-08-31,Unknown,Male,04,Calf,Unknown
650,Polonnaruwa,Trincomalee,Morawewa,2012-09-01,Unknown,Male,16 - 18,Subadults and adults,Unknown
651,Polonnaruwa,Polonnaruwa,Welikanda,2012-09-02,Injured,Female, 5 - 6,Juvenile,Natural
652,Uva,Monaragala,Siyambalanduwa,2012-09-04,Unknown,Female,25 - 30,Subadults and adults,Unknown
653,Polonnaruwa,Polonnaruwa,Welikanda,2012-09-04,Injured,Male,8 - 9,Juvenile,Natural
654,Anuradhapura,Anuradhapura,Nochchiyagama,2012-09-07,Hakkapatas,Male,03,Calf,Intentional
655,North Western,Kurunegala,Galgamuwa,2012-09-07,Hakkapatas,Male,9 - 10,Juvenile,Intentional
656,Eastern,Ampara,Lahugala,2012-09-08,Poisned,Female,3.5 Months,Infant,Intentional
657,Uva,Monaragala,Ampara,2012-09-09,Septicemia,Male,1 Week,Infant,Natural
658,Eastern,Ampara,Damana,2012-09-11,Unknown,Female,25 - 30,Subadults and adults,Unknown
659,Eastern,Monaragala,Siyambalanduwa,2012-09-14,Unknown,Female,25 - 30,Subadults and adults,Unknown
660,Anuradhapura,Anuradhapura,Kekirawa,2012-09-14,Train Accident,Male,08,Juvenile,Unintentional
661,Eastern,Ampara,Damana,2012-09-17,Hakkapatas,Female,25 - 30,Subadults and adults,Intentional
662,Anuradhapura,Vavuniya,Vavuniya,2012-09-20,Hakkapatas,Male,05,Juvenile,Intentional
663,Polonnaruwa,Trincomalee,Muttur,2012-09-20,Gunshot,Male,35,Subadults and adults,Intentional
664,Eastern,Ampara,Mahaoya,2012-09-21,Hakkapatas,Male,20,Subadults and adults,Intentional
665,Anuradhapura,Anuradhapura,Thirappane,2012-09-22,Other,Male,20,Subadults and adults,Other
666,Polonnaruwa,Trincomalee,Morawewa,2012-09-22,Unknown,Male,6 - 7,Juvenile,Unknown
667,Eastern,Ampara,Dehiattakandiya,2012-09-23,Gunshot,Female,07,Juvenile,Intentional
668,Uva,Monaragala,Madulla,2012-09-24,Unknown,Female,25 - 27,Subadults and adults,Unknown
669,Uva,Hambantota,Thissamaharama,2012-09-25,Unknown,Male,02,Calf,Unknown
670,North Western,Puttalam,Karuwalagaswewa,2012-09-26,Gunshot,Female,15 - 16,Subadults and adults,Intentional
671,Eastern,Monaragala,Madulla,2012-09-27,Gunshot,Female,20 - 25,Subadults and adults,Intentional
672,Southern,Monaragala,Thanamalvila,2012-09-27,Poisned,Male,05,Juvenile,Intentional
673,Uva,Monaragala,Wellawaya,2012-09-29,Electrocuted,Male,17 - 20,Subadults and adults,Unintentional
674,Anuradhapura,Anuradhapura,Palugaswewa,2012-10-02,Accident,Male,01,Calf,Unintentional
675,Polonnaruwa,Matale,Wilgamuwa,2012-10-06,Accident,Female,40,Subadults and adults,Unintentional
676,Southern,Hambantota,Hambantota,2012-10-07,Unknown,Male,04,Calf,Unknown
677,Anuradhapura,Anuradhapura,Thalawa,2012-10-07,Accident,Male,40,Subadults and adults,Unintentional
678,Uva,Hambantota,Lunugamvehera,2012-10-09,Natural,Male,04,Calf,Natural
679,Anuradhapura,Anuradhapura,Kahatagasdigiliya,2012-10-09,Hakkapatas,Male,20,Subadults and adults,Intentional
680,Anuradhapura,Anuradhapura,Maha Vilachchiya,2012-10-12,Electrocuted,Male,40,Subadults and adults,Unintentional
681,Eastern,Batticaloa,Manmunai South and Eruvilpattu,2012-10-13,Unknown,Male,10 - 15,Unknown,Unknown
682,Eastern,Ampara,Dehiattakandiya,2012-10-14,Gunshot,Male,Unknown,Unknown,Intentional
683,Polonnaruwa,Trincomalee,Kantalai,2012-10-16,Hakkapatas,Male,4 - 5,Juvenile,Intentional
684,Anuradhapura,Mannar,Musali,2012-10-17,Unknown,Male,5 - 8,Juvenile,Unknown
685,North Western,Kurunegala,Ambanpola,2012-10-21,Train Accident,Male,20 - 25,Subadults and adults,Unintentional
686,North Western,Puttalam,Anamaduwa,2012-10-26,Unknown,Male,25 - 30,Subadults and adults,Unknown
687,Anuradhapura,Anuradhapura,Kebithigollewa,2012-10-28,Unknown,Male,18 - 20,Subadults and adults,Unknown
688,Southern,Ratnapura,Embilipitiya,2012-10-31,Natural,Female,Unknown,Unknown,Natural
689,Southern,Ratnapura,Embilipitiya,2012-10-31,Natural,Male,Unknown,Unknown,Natural
690,Anuradhapura,Anuradhapura,Horowpothana,2012-11-01,Hakkapatas,Female,05,Juvenile,Intentional
691,Eastern,Ampara,Mahaoya,2012-11-05,Gunshot,Male,Unknown,Unknown,Intentional
692,Polonnaruwa,Polonnaruwa,Dimbulagala,2012-11-05,Unknown,Male,45 - 50,Subadults and adults,Unknown
693,Polonnaruwa,Polonnaruwa,Unknown,2012-11-06,Electrocuted,Male,35,Subadults and adults,Unintentional
694,Anuradhapura,Anuradhapura,Horowpothana,2012-11-08,Hakkapatas,Female,15,Subadults and adults,Intentional
695,North Western,Puttalam,Karuwalagaswewa,2012-11-09,Other,Unknown,1,Calf,Other
696,North Western,Kurunegala,Polpithigama,2012-11-11,Poisned,Male,40 - 50,Subadults and adults,Intentional
697,Eastern,Ampara,Mahaoya,2012-11-11,Gunshot,Male,Unknown,Unknown,Intentional
698,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2012-11-11,Electrocuted,Male,35 - 40,Subadults and adults,Unintentional
699,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2012-11-11,Electrocuted,Male,35 - 40,Subadults and adults,Unintentional
700,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2012-11-11,Electrocuted,Male,35 - 40,Subadults and adults,Unintentional
701,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2012-11-11,Electrocuted,Male,35 - 40,Subadults and adults,Unintentional
702,Anuradhapura,Anuradhapura,Medawachchiya,2012-11-12,Gunshot,Male,Unknown,Unknown,Intentional
703,Uva,Monaragala,Wellawaya,2012-11-13,Unknown,Male,10 - 15,Unknown,Unknown
704,Polonnaruwa,Polonnaruwa,Unknown,2012-11-16,Hakkapatas,Female,18 - 20,Subadults and adults,Intentional
705,North Western,Puttalam,Vanathavilluwa,2012-11-18,Unknown,Male,10 ,Juvenile,Unknown
706,Eastern,Ampara,Damana,2012-11-18,Hakkapatas,Female,10 - 15,Unknown,Intentional
707,Anuradhapura,Anuradhapura,Nachchadoowa,2012-11-19,Gunshot,Male,15,Subadults and adults,Intentional
708,Southern,Hambantota,Hambantota,2012-11-20,Unknown,Unknown,Unknown,Unknown,Unknown
709,Anuradhapura,Anuradhapura,Medawachchiya,2012-11-22,Accident,Unknown,Unknown,Unknown,Unintentional
710,Anuradhapura,Anuradhapura,Medawachchiya,2012-11-22,Train Accident,Female,20,Subadults and adults,Unintentional
711,Polonnaruwa,Polonnaruwa,Unknown,2012-11-28,Land mine,Female,25 - 30,Subadults and adults,Intentional
712,Anuradhapura,Anuradhapura,Padaviya,2012-11-28,Land mine,Male,35,Subadults and adults,Intentional
713,Polonnaruwa,Trincomalee,Trincomalee Town and Gravets,2012-11-28,Land mine,Female,25 - 30,Subadults and adults,Intentional
714,Uva,Hambantota,Thissamaharama,2012-11-29,Unknown,Male,8 - 10,Juvenile,Unknown
715,Polonnaruwa,Batticaloa,Koralai Pattu (Valachchenai),2012-11-29,Electrocuted,Male,35 - 40,Subadults and adults,Unintentional
716,Polonnaruwa,Batticaloa,Koralai Pattu (Valachchenai),2012-11-29,Electrocuted,Male,25 - 35,Subadults and adults,Unintentional
717,Polonnaruwa,Batticaloa,Koralai Pattu (Valachchenai),2012-11-29,Electrocuted,Male,35 - 40,Subadults and adults,Unintentional
718,Polonnaruwa,Batticaloa,Koralai Pattu (Valachchenai),2012-11-29,Electrocuted,Male,35 - 40,Subadults and adults,Unintentional
719,Anuradhapura,Anuradhapura,Palugaswewa,2012-11-30,Accident,Male,35 - 40,Subadults and adults,Unintentional
720,Uva,Monaragala,Buttala,2012-12-10,Unknown,Male,02,Calf,Unknown
721,Polonnaruwa,Trincomalee,Kinniya,2012-12-10,Unknown,Male,4 - 5,Juvenile,Unknown
722,Eastern,Ampara,Mahaoya,2012-12-11,Gunshot,Female,30 - 35,Subadults and adults,Intentional
723,Southern,Hambantota,Hambantota,2012-12-15,Accident,Male,35 - 40,Subadults and adults,Unintentional
724,Polonnaruwa,Trincomalee,Kantalai,2012-12-16,Hakkapatas,Male,05,Juvenile,Intentional
725,North Western,Puttalam,Karuwalagaswewa,2012-12-17,Unknown,Female,25,Subadults and adults,Unknown
726,Polonnaruwa,Polonnaruwa,Hingurakgoda,2012-12-21,Train Accident,Female,15 - 20,Subadults and adults,Unintentional
727,Polonnaruwa,Polonnaruwa,Hingurakgoda,2012-12-21,Train Accident,Female,15 - 20,Subadults and adults,Unintentional
728,Polonnaruwa,Trincomalee,Kinniya,2012-12-22,Unknown,Female,15 - 20,Subadults and adults,Unknown
729,Polonnaruwa,Polonnaruwa,Welikanda,2012-12-23,Unknown,Male,45,Subadults and adults,Unknown
730,North Western,Kurunegala,Ambanpola,2012-12-27,Train Accident,Female,25 - 30,Subadults and adults,Unintentional
731,Anuradhapura,Vavuniya,Padaviya,2012-12-29,Electrocuted,Female,25,Subadults and adults,Unintentional
